id	type	question	option	answer
5001.	SC	Notification to the NTSB is required when there has been substantial damage	['A) which requires repairs to landing gear.', 'B) to an engine caused by engine failure in flight.', 'C) which adversely affects structural strength or flight characteristics.']	['C']
5002.	SC	NTSB Part 830 requires an immediate notification as a result of which incident?	['A) Engine failure for any reason during flight.', 'B) Damage to the landing gear as a result of a hard landing.', 'C) Any required flight crew-member being unable to perform flight duties because of illness.']	['C']
5003.	SC	Which incident would require that the nearest NTSB field office be notified immediately?	['A) In-flight fire.', 'B) Ground fire resulting in fire equipment dispatch.', 'C) Fire of the primary aircraft while in a hangar which results in damage to other property of more than $25,000.']	['A']
5004.	SC	While taxiing for takeoff, a small fire burned the insulation from a transceiver wire. What action would be required to comply with NTSB Part 830?	['A) No notification or report is required.', 'B) A report must be filed with the avionics inspector at the nearest FAA-field office within 48 hours.', 'C) An immediate notification must be filed by the operator of the aircraft with the nearest NTSB field office.']	['A']
5005.	SC	During flight a fire which was extinguished burned the insulation from a transceiver wire. What action is required by regulations?	['A) No notification or report is required.', 'B) Report must be filed with the avionics inspector at the nearest FAA field office within 48 hours.', 'C) An immediate notification by the operator of the aircraft to the nearest NTSB field office.']	['C']
5006.	SC	When should notification of an aircraft accident be made to the NTSB if there was substantial damage and no injuries?	['A) Immediately.', 'B) Within 10 days.', 'C) Within 30 days.']	['A']
5008.	SC	Within how many days of an accident is an accident report required to be filed with the nearest NTSB field office?	['A) 2 days.', 'B) 7 days.', 'C) 10 days.']	['C']
5010.	SC	Regulations which refer to commercial operators relate to that person who;	['A) is the owner of a small scheduled airline.', 'B) for compensation or hire, engages in the carriage by aircraft in air commerce of persons or property, as an air carrier.', 'C) for compensation or hire, engages in the carriage by aircraft in air commerce of persons or property, other than as an air carrier.']	['C']
5011.	SC	Regulations which refer to operate relate to that person who;	['A) acts as pilot in command of the aircraft.', 'B) is the sole manipulator of the aircraft controls.', 'C) causes the aircraft to be used or authorizes its use.']	['C']
5012.	SC	Regulations which refer to the operational control of a flight are in relation to;	['A) the specific duties of any required crew- member.', 'B) acting as the sole manipulator of the aircraft controls.', 'C) exercising authority over initiating, conducting, or terminating a flight.']	['C']
5018.	SC	Commercial pilots are required to have a valid and appropriate pilot certificate in their physical possession or readily accessible in the aircraft when	['A) piloting for hire only.', 'B) acting as pilot in command.', 'C) carrying passengers only.']	['B']
5019.	SC	Which of the following is considered aircraft class ratings?	['A) Transport, normal, utility, and acrobatic.', 'B) Airplane, rotorcraft, glider, and lighter-than air.', 'C) Single -engine land, multiengine land. single- engine sea, and multiengine sea.']	['C']
5020.	SC	Does a commercial pilot certificate have a specific expiration date?	['A) No, it is issued without a specific expiration date.', 'B) Yes, it expires at the end of the 24th month after the month in which it was issued.', 'C) No, but commercial privileges expire if a flight review is not satisfactorily completed each 12 months.']	['A']
5021.	SC	A second-class medical certificate issued to a commercial pilot on April 10, this year, permits the pilot to exercise which of the following privileges?	['A) Commercial pilot privileges through April 30, next year.', 'B) Commercial pilot privileges through April 10, 2 years later.', 'C) Private pilot privileges through, but not after, March 31, next year.']	['A']
5021-1.	SC	The holder of a commercial pilot certificate while exercising commercial pilot privileges is restricted from operating under BasicMed	['A) at anytime.', 'B) for flights over 18,000 FT MSL.', 'C) if carrying more than 5 passengers.']	['A']
5022.	SC	When is the pilot in command required to hold a category and class rating appropriate to the aircraft being flown?	['A) On flights when carrying another person.', 'B) All solo flights.', 'C) On practical tests given by an examiner or FAA Inspector.']	['A']
5023.	SC	Unless otherwise authorized the pilot in command is required to hold a type rating when operating any	['A) Aircraft that is certified for more than one pilot.', 'B) Aircraft of more than 12,500 pounds maximum certified takeoff weight.', 'C) Multiengine aircraft having a gross weight of . more than 6.000 pounds.']	['B']
5024.	SC	To act as pilot in command of an airplane that is equipped with retractable landing gear, flaps, and controllable-pitch propeller, a person is required to;	['A) hold a multiengine airplane class rating.', 'B) make at least six takeoffs and landings in such an airplane within the preceding 6 months.', 'C) receive and log ground and flight training in such an airplane, and obtain a logbook endorsement certifying proficiency.']	['C']
5025.	SC	What flight time may a pilot log as second in command?	['A) All flight time while acting as second in command in aircraft configured for more than one pilot.', 'B) Only that flight time during which the second in command is the sole manipulator of the controls.', 'C) All flight time when qualified and occupying a crew-member station in an aircraft that requires more than one pilot.']	['C']
5026.	SC	What flight time must be shown, in a reliable record, by a pilot exercising the privileges of a commercial certificate?	['A) Flight time showing aeronautical training and experience to meet requirements for a certificate or rating.', 'B) All flight time flown for compensation or hire.', 'C) Only flight time for compensation or hire with passengers aboard which is necessary to meet the recent flight experience requirements.']	['A']
5027.	SC	If a pilot does not meet the recency of experience requirements for night flight and official sunset is 1900 CST, the latest time passengers should be carried is	['A) 1800 CST.', 'B) 1959 CST.', 'C) 1900 CST.']	['B']
5028.	SC	Prior to carrying passengers, the pilot in command must have accomplished the required takeoffs and landings in;	['A) The same category. class. arid type of aircraft (if a type rating is required).', 'B) Any category aircraft.', 'C) The same category and class of aircraft to be used.']	['A']
5030.	SC	No pilot may act as pilot in command of an aircraft under IFR or in weather conditions less than the minimums prescribed for VFR unless that pilot has, within the past 6 months, performed and logged under actual or simulated instrument conditions, at least	['A) three instrument approaches and logged 3 hours of instruments.', 'B) six instrument flights and six approaches.', 'C) six instrument approaches, holding procedures, intercepting and tracking courses, or passed an instrument proficiency check in an aircraft that is appropriate to the aircraft category.']	['C']
5032.	SC	Pilots who change their permanent mailing address and fail to notify the FAA Airmen Certification Branch of this change are entitled to exercise the privileges of their pilot certificate for a period of	['A) 30 days.', 'B) 60 days.', 'C) 90 days.']	['A']
5033.	SC	To act as pilot in command of an airplane towing a glider, the tow pilot is required to have	['A) a logbook record of having made at least three flights as sole manipulator of the controls of a glider being towed by an airplane.', 'B) a logbook endorsement from an authorized glider instructor certifying receipt of ground and flight training in gliders, and be proficient with techniques and procedures for safe towing of gliders.', 'C) at least a private pilot certificate with a category rating for powered aircraft, and made and logged at least three flights as pilot or observer in a glider being towed by an airplane.']	['B']
5034.	SC	To act as pilot in command of an airplane towing a glider, a pilot must have accomplished, within the preceding 12 months, at least	['A) three actual glider tows under the supervision of a qualified tow pilot.', 'B) ten flights as pilot in command of an aircraft while towing a glider.', 'C) three actual or simulated glider tows while accompanied by a qualified tow pilot.']	['C']
5039.	SC	What limitation is imposed on a newly certificated commercial pilot - airplane, if that person does not hold an instrument rating? The carriage of passengers	['A) or property for hire on cross-country flights at night is limited to a radius of 50 NM.', 'B) for hire on cross-country flights is limited to 50 NM for night flights, but not limited for day flights.', 'C) for hire on cross-country flights in excess of 50 NM, or for hire at night is prohibited.']	['C']
5044.	SC	What action must be taken when a pilot in command deviates from any rule in 14 CFR part 91?	["A) Upon landing, report the deviation to the nearest FAA Flight Standards District Office.", "B) Advise ATC of the pilot in command's intentions.", "C) Upon the request of the Administrator, send a written report of that deviation to the Administrator."]	['C']
5045.	SC	Who is responsible for determining if an aircraft is in condition for safe flight?	['A) A certificated aircraft mechanic.', 'B) The pilot in command.', 'C) The owner or operator.']	['B']
5046.	SC	When operating a U.S.-registered civil aircraft, which document is required by regulation to be available in the aircraft?	["A) A manufacturer's Operations Manual.", "B) A current, approved Airplane Flight Manual.", "C) An Owner's Manual."]	['B']
5047.	SC	A pilot in command (PIC) of a civil aircraft may not allow any object to be dropped from that aircraft in flight	['A) if it creates a hazard to persons and property.', 'B) unless the PIC has permission to drop any object over private property.', 'C) unless reasonable precautions are taken to avoid injury to property.']	['A']
5049.	SC	The required preflight action relative to weather reports and fuel requirements is applicable to	['A) IFR flights only.', 'B) any flight not in the vicinity of an airport.', 'C) any flight conducted for compensation or hire.']	['B']
5050.	SC	Before beginning any flight under IFR, the pilot in command must become familiar with all available information concerning that flight. In addition, the pilot must	['A) be familiar with all instrument approaches at the destination airport.', 'B) list an alternate airport on the flight plan, and confirm adequate takeoff and landing performance at the destination airport.', 'C) be familiar with the runway lengths at airports of intended use, and the alternatives available, if the flight cannot be completed.']	['C']
5051.	SC	Required flight crew-members’ seat-belts must be fastened;	['A) only during takeoff and landing.', 'B) while the crew-members are at their stations.', 'C) only during takeoff and landing when passengers are aboard the aircraft.']	['B']
5052.	SC	With U.S. registered civil airplanes, the use of seat-belts is required during movement on the surface, takeoffs and landings for:	['A) each person over 2 years of age on board.', 'B) commercial passenger operations only.', 'C) safe operating practice, but not required by regulations.']	['A']
5055.	SC	Which is required to operate an aircraft towing an advertising banner?	["A) Approval from ATC to operate in Class E airspace.", "B) A certificate of waiver issued by the Administrator.", "C) A safety link at each end of the towline which has a breaking strength not less than 80 percent of the aircraft's gross weight."]	['B']
5056.	SC	Portable electronic devices which may cause interference with the navigation or communication system may not be operated on a U.S.- registered civil aircraft being flown	['A) along Federal airways.', 'B) within the U.S.', 'C) in air carrier operations.']	['C']
5063.	SC	In accordance with FAR Part 91, supplemental oxygen must be used by the required minimum flight crew for that time exceeding 30 minutes while at cabin pressure altitudes of;	['A) 10,500 feet MSL feet MSL.', 'B) 12,000 feet MSL feet MSL', 'C) 12,500 feet MSL feet MSL.']	['C']
5065.	SC	Which is required equipment for powered aircraft during VFR night flights?	['A) Anti-collision light system.', 'B) Gyroscopic direction indicator.', 'C) Gyroscopic bank-and-pitch indicator.']	['A']
5066.	SC	Which is required equipment for powered aircraft during VFR night flights?	['A) Flashlight with red lens, if the flight is for hire.', 'B) An electric landing light, if the flight is for hire.', 'C) Sensitive altimeter adjustable for barometric pressure.']	['B']
5067.	SC	Approved flotation gear, readily available to each occupant, is required on each airplane if it is being flown for hire over water,	['A) in amphibious aircraft beyond 50 NM from shore.', 'B) beyond power-off gliding distance from shore.', 'C) more than 50 statute miles from shore.']	['B']
5069.	SC	The carriage of passengers for hire by a commercial pilot is	["A) not authorized in a 'limited' category aircraft.", "B) not authorized in a 'utility' category aircraft.", "C) authorized in 'restricted' category aircraft."]	['A']
5070.	SC	The maximum cumulative time that an emergency locator transmitter may be operated before the rechargeable battery must be recharged is	['A) 30 minutes.', 'B) 45 minutes.', 'C) 60 minutes.']	['C']
5071.	SC	No person may operate a large civil aircraft of U.S. registry which is subject to a lease, unless the lessee has mailed a copy of the lease to the FAA Aircraft Registration Branch, Technical Section, Oklahoma City, OK, within how many hours of its execution?	['A) 24.', 'B) 48.', 'C) 72.']	['A']
5073.	SC	Which is true with respect to formation flights? Formation flights are	['A) authorized when carrying passengers for hire, with prior arrangement with the pilot in command of each aircraft in the formation.', 'B) not authorized when visibilities are less than 3 miles.', 'C) not authorized when carrying passengers for hire.']	['C']
5073-1.	SC	Which is true with respect to formation flights? Formation flights are;	['A) not authorized, when operated so close to another aircraft they can create a collision hazard.', 'B) not authorized, unless the pilot in command of each aircraft is trained and found competent in formation.', 'C) authorized when carrying passengers for hire, with prior arrangement with the pilot in command of each aircraft in the formation.']	['A']
5073-2.	SC	Which is true with respect to formation flights? Formation flights are;	['A) not authorized, except by arrangement with the pilot in command of each aircraft.', 'B) not authorized, unless the pilot in command of each aircraft is trained and found competent in formation.', 'C) authorized when carrying passengers for hire, with prior arrangement with the pilot in command of each aircraft in the formation.']	['A']
5074.	SC	While in flight a helicopter and an airplane are converging at a 90° angle, and the helicopter is located to the right of the airplane. Which aircraft has the right-of-way, and why?	['A) The helicopter, because it is to the right of the airplane.', 'B) The helicopter, because helicopters have the right-of-way over airplanes.', 'C) The airplane, because airplanes have the right- of-way over helicopters.']	['A']
