id	type	question	option	answer
4XXX-1.	SC	Which statement is true regarding flying PIC as an instrument pilot under BasicMed?	['A) Must see a physician every 24 months and take the Medical Education Course (MEC) every 48 months.', 'B) Must see a physician every 48 months and take the Medical Education Course (MEC) every 24 months.', 'C) Must have a Driver’s license with an expired class medical certificate.']	['B']
4XXX-2.	SC	What conditions allow a pilot who is exercising the privileges of BasicMed to act as a PIC under instrument flight rules (IFR)?	['A) Flight in IMC is not permitted under BasicMed.', 'B) When the PIC is instrument rated and current.', 'C) When there is a safety pilot who shares the PIC responsibilities.']	['B']
4XXX-3.	SC	What is the maximum altitude allowed for a pilot who is exercising the privileges of BasicMed to act as a PIC under instrument flight rules (IFR)?	['A) 10,000 feet MSL.', 'B) 12,000 feet MSL.', 'C) 18,000 feet MSL.']	['C']
4002.	SC	What limitation is imposed on a newly certificated commercial airplane pilot if that person does not hold an instrument pilot rating?	['A) The carrying of passengers or property for hire on cross-country flights at night is limited to a radius of 50 nautical miles (NM).', 'B) The carrying of passengers for hire on cross- country flights is limited to 50 NM for night flights, but not limited for day flights.', 'C) The carrying of passengers for hire on cross- country flights is limited to 50 NM and the carrying of passengers for hire at night is prohibited.']	['C']
4003.	SC	Before beginning any flight under IFR, the pilot in command must become familiar with all available information concerning that flight. In addition, the pilot must	['A) be familiar with all instrument approaches at the destination airport.', 'B) list an alternate airport on the flight plan and confirm adequate takeoff and landing performance at the destination airport.', 'C) be familiar with the runway lengths at airports of intended use, and the alternatives available if the flight cannot be completed.']	['C']
4005.	SC	During your preflight planning for an IFR flight in an airplane you determine that the first airport of intended landing has no instrument approach prescribed in 14 CFR part 97. The weather forecast for one hour before through one hour after your estimated time of arrival is 3000’ scattered with 5 miles visibility. To meet fuel requirements for this flight you must be able to fly to the first airport of intended landing;	['A) and then fly for 45 minutes at normal cruising speed.', 'B) then to the alternate airport, and then for 45 minutes at normal cruising speed.', 'C) then to the alternate airport, and then for 30 minutes at normal cruising speed.']	['B']
4007.	SC	If the aircraft’s transponder fails during flight within Class B airspace,	['A) the pilot should immediately request clearance to depart the Class B airspace.', 'B) ATC may authorize deviation from the transponder requirement to allow aircraft to continue to the airport of ultimate destination.', 'C) aircraft must immediately descend below 1,200 feet AGL and proceed to destination.']	['B']
4008.	SC	If a pilot enters the condition of flight in the pilot logbook as simulated instrument conditions, what qualifying information must also be entered?	['A) Place and type of each instrument approach completed and name of safety pilot.', 'B) Number and type of instrument approaches completed and route of flight.', 'C) Name and pilot certificate number of safety pilot and type of approaches completed.']	['A']
4009.	SC	What portion of dual instruction time may a certificated instrument flight instructor log as instrument flight time?	['A) All time during which the instructor acts as instrument instructor, regardless of weather conditions.', 'B) All time during which the instructor acts as instrument instructor in actual instrument weather conditions.', 'C) Only the time during which the instructor flies the aircraft by reference to instruments.']	['B']
4010.	SC	Which flight time may be logged as instrument time when on an instrument flight plan?	['A) All of the time the aircraft was not controlled by ground references.', 'B) Only the time you controlled the aircraft solely by reference to flight instruments.', 'C) Only the time you were flying in IFR weather conditions.']	['B']
