id	type	question	option	answer
3001.	SC	With respect to the certification of airmen, which is a category of aircraft?	['A) Gyroplane, helicopter, airship, free balloon.', 'B) Airplane, rotorcraft, glider, lighter-than-air.', 'C) Single-engine land and sea, multiengine land and sea.']	['B']
3002.	SC	With respect to the certification of airmen, which is a class of aircraft?	['A) Airplane, rotorcraft, glider, lighter-than-air.', 'B) Single-engine land and sea, multiengine land and sea.', 'C) Lighter-than-air, airship, hot air balloon, gas balloon.']	['B']
3003.	SC	With respect to the certification of aircraft, which is a category of aircraft?	['A) Normal, utility, acrobatic.', 'B) Airplane, rotorcraft, glider.', 'C) Landplane, seaplane.']	['A']
3004.	SC	With respect to the certification of aircraft, which is a class of aircraft?	['A) Airplane, rotorcraft, glider, balloon.', 'B) Normal, utility, acrobatic, limited.', 'C) Transport, restricted, provisional.']	['A']
3005.	SC	The definition of nighttime is	['A) sunset to sunrise.', 'B) 1 hour after sunset to 1 hour before sunrise.', 'C) the time between the end of evening civil twilight and the beginning of morning civil twilight.']	['C']
3013.	SC	What regulation allows a private or commercial pilot to perform preventive maintenance?	['A) 14 CFR Part 91.403', 'B) 14 CFR Part 43.7', 'C) 14 CFR Part 61.113']	['B']
3014.	SC	Which operation would be described as preventive maintenance?	['A) Replenishing hydraulic fluid and servicing landing gear wheel bearings.', 'B) Alteration of main seat support brackets.', 'C) Engine adjustments to allow automotive gas to be used.']	['A']
3016.	SC	What document(s) must be in your personal possession or readily accessible in the aircraft while operating as pilot in command of an aircraft?	['A) Certificates showing accomplishment of a checkout in the aircraft and a current biennial flight review.', 'B) A pilot certificate with an endorsement showing accomplishment of an annual flight review and a pilot logbook showing recency of experience.', 'C) An appropriate pilot certificate and an appropriate current medical certificate if required.']	['C']
3017.	SC	When must a current pilot certificate be in the pilot’s personal possession?	['A) When acting as a crew chief during launch and recovery.', 'B) Only when passengers are carried.', 'C) Anytime when acting as pilot in command or as a required crew-member.']	['C']
3018.	SC	A pilot acting as pilot in command, or in any other capacity as a required pilot flight crewmember, must have in their personal possession or readily accessible in the aircraft a current	['A) logbook endorsement to show that a flight review has been satisfactorily accomplished.', 'B) medical certificate if required and an appropriate pilot certificate.', 'C) endorsement on the pilot certificate to show that a flight review has been satisfactorily accomplished.']	['B']
3019.	SC	Each person who holds a pilot certificate or a medical certificate shall present it for inspection upon the request of the Administrator, the National Transportation Safety Board, or any	['A) authorized representative of the Department of Transportation.', 'B) person in a position of authority.', 'C) federal, state, or local law enforcement officer.']	['C']
3020.	SC	A Third-Class Medical Certificate is issued to a 36- year-old pilot on August 10, this year. To exercise the privileges of a Private Pilot Certificate, the medical certificate will be valid until midnight on	['A) August 10, 2 years later.', 'B) August 31, 5 years later.', 'C) August 31, 2 years later.']	['B']
